pair_id,story_a_id,story_b_id,ok,error,num_events_a,num_events_b,num_matches,D_alignment,alignment_similarity,D_semantic,semantic_similarity,pred_event_rating_mean_joint
2w3zen__42lw1e,2w3zen,42lw1e,True,,4,5,0,1.0,0.0,1.0,0.0,1.583
3kh9hs__34c4ui,3kh9hs,34c4ui,True,,5,17,1,0.9090909090909091,0.09090909090909094,0.25630204379558563,0.7436979562044144,2.2959122485720296
8mswy3__8hljch,8mswy3,8hljch,True,,6,4,0,1.0,0.0,1.0,0.0,1.583
1aevii__4l8w8b,1aevii,4l8w8b,True,,4,6,2,0.44,0.56,0.3034633124868075,0.6965366875131924,2.3466716124685703
8slom4__7cqty5,8slom4,7cqty5,True,,1,5,0,1.0,0.0,1.0,0.0,1.583
2twdpu__51gnyn,2twdpu,51gnyn,True,,7,3,0,1.0,0.0,1.0,0.0,1.583
36gznh__96x08d,36gznh,96x08d,True,,1,6,0,1.0,0.0,1.0,0.0,1.583
2t0cg0__7e8lac,2t0cg0,7e8lac,True,,4,2,1,0.6666666666666666,0.33333333333333337,0.32732726633548737,0.6726727336645126,2.2785757326359546
35jg4o__qzmt2,35jg4o,qzmt2,True,,1,2,0,1.0,0.0,1.0,0.0,1.583
3agprf__3dmbau,3agprf,3dmbau,True,,4,3,0,1.0,0.0,1.0,0.0,1.583
y0i0p__6y2fr3,y0i0p,6y2fr3,True,,4,1,0,1.0,0.0,1.0,0.0,1.583
1t4369__57xz32,1t4369,57xz32,True,,5,8,0,1.0,0.0,1.0,0.0,1.583
5iztyu__2z32jb,5iztyu,2z32jb,True,,6,6,1,0.8333333333333334,0.16666666666666663,0.4293575584888458,0.5706424415111542,2.1496063094606
3l0qyk__2legk7,3l0qyk,2legk7,True,,1,1,0,1.0,0.0,1.0,0.0,1.583
5uhcfc__79xu4g,5uhcfc,79xu4g,True,,3,5,3,0.18181818181818182,0.8181818181818181,0.3948904685676098,0.6051095314323902,2.3134663368592547
8fworq__2l5qx4,8fworq,2l5qx4,True,,1,1,0,1.0,0.0,1.0,0.0,1.583
4z4x0n__2jhqsx,4z4x0n,2jhqsx,True,,1,2,0,1.0,0.0,1.0,0.0,1.583
9mjmu0__6pfd33,9mjmu0,6pfd33,True,,3,6,0,1.0,0.0,1.0,0.0,1.583
30q6i0__3pqa7y,30q6i0,3pqa7y,True,,12,2,0,1.0,0.0,1.0,0.0,1.583
7266t8__7f3kd4,7266t8,7f3kd4,True,,2,2,0,1.0,0.0,1.0,0.0,1.583
16axa6__9e6ny2,16axa6,9e6ny2,True,,3,4,0,1.0,0.0,1.0,0.0,1.583
2t8qgr__4ipfrd,2t8qgr,4ipfrd,True,,2,4,0,1.0,0.0,1.0,0.0,1.583
7304iz__6mp5gs,7304iz,6mp5gs,True,,3,8,2,0.5714285714285714,0.4285714285714286,0.32800719638665515,0.6719928036133449,2.2971883650087888
1hartx__37hxu0,1hartx,37hxu0,True,,6,2,0,1.0,0.0,1.0,0.0,1.583
2zyy8b__757k3y,2zyy8b,757k3y,True,,3,2,0,1.0,0.0,1.0,0.0,1.583
51vrpp__1y9q71,51vrpp,1y9q71,True,,4,4,0,1.0,0.0,1.0,0.0,1.583
8jhc2a__3vl7uy,8jhc2a,3vl7uy,True,,7,1,0,1.0,0.0,1.0,0.0,1.583
72pywm__7dec16,72pywm,7dec16,True,,1,3,0,1.0,0.0,1.0,0.0,1.583
4x8obh__8dmlxa,4x8obh,8dmlxa,True,,5,1,0,1.0,0.0,1.0,0.0,1.583
3s14d7__465kyx,3s14d7,465kyx,True,,3,8,0,1.0,0.0,1.0,0.0,1.583
